operator_id,digital_skill_index,experience_years
OP_001,0.5557034649577419,14
OP_002,0.7058562592525353,4
OP_003,0.8031780269146975,8
OP_004,0.4609019257586107,6
OP_005,0.7903959527416491,5
OP_006,0.6094743290922854,3
OP_007,0.4593466631083294,17
OP_008,0.33252077831984905,9
OP_009,0.8061348011183129,4
OP_010,0.8815739830622065,7
OP_011,0.4184079394857131,17
OP_012,0.8495693570803058,15
OP_013,0.378956153402517,2
OP_014,0.8130887778745144,6
OP_015,0.4286897239165781,11
OP_016,0.7593487126749296,17
OP_017,0.857812600739059,1
OP_018,0.40609858716099473,5
OP_019,0.6676857843379812,17
OP_020,0.784778332486223,12
OP_021,0.3580736877609942,14
OP_022,0.7774971997146161,1
OP_023,0.4706148372596688,19
OP_024,0.5760830199921392,12
OP_025,0.7272753787188591,3
OP_026,0.7992479789790505,5
OP_027,0.46717044014077075,14
OP_028,0.5126655084645263,4
OP_029,0.49142861543276545,2
OP_030,0.6454476435369545,2
OP_031,0.523479518650176,12
OP_032,0.3495114891692375,17
OP_033,0.6716591777819101,17
OP_034,0.5203249332851094,15
OP_035,0.3817870869345587,3
OP_036,0.4841954363132055,17
OP_037,0.6280628715519161,3
OP_038,0.8918290239436872,13
OP_039,0.6209500036740468,9
OP_040,0.86043489977276,12
OP_041,0.6590362239951502,3
OP_042,0.4706466157459802,4
OP_043,0.4833767672720326,19
OP_044,0.549675579854175,15
OP_045,0.45911764739634964,2
OP_046,0.866519169753492,4
OP_047,0.5256626988310134,18
OP_048,0.7167102261566591,13
OP_049,0.7129611938712388,4
OP_050,0.7982633710502269,11
